Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
(blank),Travel,US$ Millions,(blank),IMF,"10,887","11,015","10,062","9,581","6,727","6,232","6,579","6,901","8,623","9,237","9,316","9,628","10,559","11,438","10,826","10,120","10,556","9,987","10,253","11,095","9,329","9,772","10,768","11,793","11,589","4,484","7,351"
(blank),Passenger transport,US$ Millions,(blank),IMF,799,762,610,818,790,769,829,842,"1,138","1,575","1,761",0,0,0,0,0,0,0,0,0,"2,008","1,862","2,110","2,317","2,402",673,894
AZERBAIJAN,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,432,654,"1,146","1,204","1,326","1,130","1,141","1,475","1,473","1,830","1,836","1,631","2,162","2,363","3,176","3,550","3,874","4,285","4,244","4,096","4,282","4,109","4,908","5,568","1,165",975
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,887,890,791,"1,048","1,145","1,820","2,308","2,829","3,307","3,319","3,256","3,592","3,447","3,919","4,579",0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,943,946,840,"1,114","1,217","1,356","1,242","1,045",978,925,840,690,662,989,989,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,165,115,193,181,149,138,119,110,120,140,188,256,381,456,488,856,"1,778","2,617","3,032","3,163","2,743","2,593","2,803","2,453","1,839",439,655
(blank),Travel,US$ Millions,(blank),IMF,146,100,186,170,139,132,109,105,111,126,164,201,264,343,406,782,"1,689","2,477","2,877","3,008","2,603","2,494","2,658","2,284","1,702",412,562
(blank),Passenger transport,US$ Millions,(blank),IMF,19,15,7,11,10,6,10,5,9,14,24,55,117,113,82,74,89,140,155,155,140,99,145,169,137,27,93
BAHAMAS,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
