Basic data and indicators,Description,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GERMANY,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,1/,(blank),0,0,"55,800","69,200","78,100","80,507","81,551","80,393","85,345","84,859","86,622","81,801","82,099","86,201","85,547","85,872","84,692","82,729","87,459","83,008","83,737","90,966","92,402","108,542","99,533",0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"66,527","64,725","59,000","60,253","61,215","57,607","56,437","59,550","72,839","80,321","84,513","85,717","96,170","105,691","92,899","90,866","99,909","96,196","102,668","101,737","85,334","87,412","89,736","95,199","93,097","38,752","47,815"
(blank),Travel,US$ Millions,(blank),IMF,"60,260","59,076","53,667","54,423","55,877","52,829","51,824","53,052","65,290","71,231","74,167","74,153","83,138","91,641","81,461","77,566","86,227","83,202","91,311","93,284","77,468","79,923","89,736","95,199","93,097","38,752","47,815"
(blank),Passenger transport,US$ Millions,(blank),IMF,"6,267","5,649","5,333","5,830","5,338","4,778","4,613","6,498","7,549","9,090","10,346","11,564","13,032","14,050","11,438","13,300","13,682","12,994","11,357","8,453","7,866","7,489",0,0,0,0,0
GHANA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,191,222,233,260,188,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,168,192,192,222,160,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,29,40,38,29,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,74,59,61,145,151,162,165,184,216,270,472,575,816,870,948,882,"1,026",976,982,947,"1,405","1,571","1,581","1,329","1,380",946,"1,271"
(blank),Travel,US$ Millions,(blank),IMF,21,4,4,85,91,100,105,119,138,186,303,345,558,542,684,574,464,464,473,458,737,792,693,450,328,105,414
(blank),Passenger transport,US$ Millions,(blank),IMF,53,55,57,60,60,62,60,65,78,84,169,230,258,328,264,308,562,512,509,489,668,779,888,879,"1,052",841,857
GREECE,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,"3,765","3,835","3,799","4,941","4,681","4,594","5,802","6,291","7,235","7,685","7,961","7,848","2,324","2,026"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"1,495","1,396","1,537",0,"4,014","4,564","4,190","2,456","2,441","2,882","3,044","3,005","3,430","3,946","4,122","3,400","3,809","3,005","3,768","4,003","3,535","3,412","3,306","3,910","4,211","1,500","2,221"
(blank),Travel,US$ Millions,(blank),IMF,"1,323","1,210","1,327","1,756","3,991","4,558","4,178","2,439","2,433","2,874","3,038","2,998","3,423","3,930","3,383","2,853","3,161","2,364","2,435","2,755","2,259","2,220","2,156","2,582","3,070",898,"1,306"
(blank),Passenger transport,US$ Millions,(blank),IMF,172,186,210,0,23,6,12,17,8,8,6,7,7,16,739,547,648,641,"1,333","1,248","1,276","1,192","1,150","1,328","1,141",602,915
GRENADA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,40,38,42,52,14,15
(blank),Travel,US$ Millions,(blank),IMF,5,5,6,6,7,8,8,8,8,9,10,16,16,11,10,10,10,11,11,18,20,21,22,24,24,7,8
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,19,16,18,28,7,7
GUADELOUPE,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAM,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),333,333,331,391,485,488,580,629,658,854,982,"1,055","1,168","1,277",651,694,718,721,846,992,"1,130","1,195","1,328","1,538","1,703",508,437
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,585,596,580,686,840,939,"1,053","1,067","1,229","1,299",402,414
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,108,122,141,159,152,191,142,260,309,405,106,22
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,167,163,146,190,216,216,266,329,373,488,532,655,737,821,751,843,883,926,995,"1,029","1,020","1,032","1,066","1,105","1,128",344,455
(blank),Travel,US$ Millions,(blank),IMF,141,135,119,157,183,182,225,276,312,385,421,529,597,687,604,621,656,712,768,782,754,754,775,807,814,254,285
(blank),Passenger transport,US$ Millions,(blank),IMF,26,28,27,33,33,34,41,53,61,103,111,126,140,134,147,222,227,214,227,247,266,278,291,298,314,90,170
GUINEA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,29,37,39,34,29,13,26,38,36,29,38,41,96,30,28,16,49,42,61,29,38,16,102,412,420,"1,075",1.0
(blank),Travel,US$ Millions,(blank),IMF,21,27,23,27,24,9,18,31,26,25,29,28,29,9,13,8,33,23,50,18,30,12,12,9,3,4,0.7
(blank),Passenger transport,US$ Millions,(blank),IMF,8,10,16,7,5,4,8,7,10,4,9,13,67,21,15,9,16,18,11,11,8,4,91,403,417,"1,071",0.3
GUINEA-BISSAU,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,6,5,4,0,0,0,6,10,21,22,19,18,41,46,26,30,39,25,0,0,0,33,63,75,89,53,0
(blank),Travel,US$ Millions,(blank),IMF,4,3,2,0,0,0,3,5,13,13,10,16,40,46,26,29,32,20,27,53,53,33,63,75,87,53,0
(blank),Passenger transport,US$ Millions,(blank),IMF,2,2,2,0,0,0,3,5,8,9,9,2,0.5,0.5,0.3,0.1,7,5,0,0,0,0,0,0.1,1.8,0,0
GUYANA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,65,69,69,82,77,62,44,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),IMF,21,59,62,63,75,69,55,38,26,30,40,49,58,52,52,73,79,82,81,77,93,103,94,80,47,35,59
(blank),Passenger transport,US$ Millions,(blank),IMF,0,6,7,6,7,8,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAITI,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,173,168,172,202,206,174,239,331,383,427,431,458,473,418,475,503,221,207,227,179,46,57
(blank),Travel,US$ Millions,(blank),IMF,35,37,35,0,0,18,18,18,42,72,55,56,56,64,63,63,62,64,62,71,71,125,118,127,104,16,22
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,138,135,155,150,154,160,134,119,183,275,319,364,368,396,409,356,404,432,96,89,100,75,30,35
HONDURAS,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,090","1,092","1,072","1,055","1,065","1,150","1,121",727,703,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),149,162,183,202,235,274,279,279,277,295,284,295,315,387,395,408,449,464,471,557,692,664,485,501,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,643,608,584,508,458,457,243,201,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,99,110,115,142,166,198,205,221,274,300,321,425,309,385,361,406,446,549,506,437,454,482,517,558,655,200,424
(blank),Travel,US$ Millions,(blank),IMF,57,60,62,81,94,120,128,149,217,244,262,355,212,291,296,321,354,454,404,338,358,370,401,408,499,133,288
(blank),Passenger transport,US$ Millions,(blank),IMF,42,50,53,61,72,78,77,72,57,56,59,70,97,94,65,85,92,95,102,99,96,112,116,150,156,67,136
"HONG KONG, CHINA",(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,"47,594","53,144","58,901","61,096","64,540","60,936","68,903","72,300","75,812","80,682","81,911","81,958","84,442","84,816","85,276","84,414","84,519","89,082","91,758","91,304","92,214","94,715","8,261",905
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,1/,country,"10,497","11,461","12,678","13,474","13,134","12,502","12,317","12,418","11,447","13,270","13,305","14,044","15,042","16,095","15,547","17,357","19,022","20,077","21,215","22,011","23,059","24,141","25,386","26,436","26,879","5,520","3,355"
(blank),Passenger transport,US$ Millions,(blank),..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUNGARY,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),1/,(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),"13,083","12,064","12,173","12,317","10,622","11,065","11,167","12,966","14,283","17,558","17,759","16,597","17,056","17,162","16,640","16,082","16,634","16,143","16,038","16,340","17,276","18,895","20,297","22,805","24,860","12,727","13,258"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,"6,994","6,007","5,734","6,155","5,672","5,297","5,335","4,881","4,912","5,587","6,382","7,091","7,539","8,649","9,373","3,908","4,358"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,"10,765","10,590","11,322","11,006","10,969","10,786","11,299","11,262","11,126","10,753","10,893","11,804","12,758","14,156","15,486","8,819","8,901"
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,"1,501","1,491","1,511","1,496","1,590","1,722","1,887","2,211","2,700","2,482","2,721","2,319","3,088","3,857","3,251","2,897","3,048","2,457","2,526","2,712","2,456","2,738","3,049","3,239","3,352","1,325","1,704"
(blank),Travel,US$ Millions,(blank),IMF,"1,498","1,482","1,494","1,476","1,543","1,651","1,808","2,133","2,594","2,421","2,277","1,879","2,546","3,225","2,750","2,404","2,485","1,886","1,906","2,036","1,830","2,166","2,469","2,639","2,741","1,159","1,445"
(blank),Passenger transport,US$ Millions,(blank),IMF,3,9,17,20,47,71,79,78,106,61,444,440,542,632,501,493,563,571,620,676,626,572,580,600,611,166,259
ICELAND,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),166,190,203,227,257,283,0,0,0,0,364,440,460,414,259,299,341,358,365,400,450,536,619,668,611,130,219
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,312,327,399,440,0,0,373,524,699,991,"1,084","1,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Travel,US$ Millions,(blank),IMF,282,308,323,396,436,471,372,371,523,697,980,"1,076","1,326","1,103",546,612,754,792,854,964,963,"1,217","1,554","1,691","1,509",532,756
(blank),Passenger transport,US$ Millions,(blank),IMF,0,4,4,3,4,0,0,2,1,2,11,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,1/,(blank),"3,056","3,464","3,726","3,811","4,115","4,416","4,564","4,940","5,351","6,213","7,185","8,340","9,783","10,868","11,067","12,988","13,994","14,920","16,626","18,330","20,376","21,872","23,943","26,296","26,915","7,295","8,551"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,"3,686","4,367","4,350","4,385","5,783","8,277","8,738","10,690","12,083",0,0,0,"14,107","13,884","17,492","17,686","19,184","21,856","25,790","28,595","15,777","17,838"
(blank),Travel,US$ Millions,(blank),IMF,996,913,"1,342","1,713","2,010","2,690","3,006","2,988","3,585","4,816","6,187","6,845","8,219","9,606","9,310","10,490","13,699","12,342","11,615","14,595","14,838","16,376","18,443","21,319","22,915","12,574","14,280"
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,996,"1,361","1,362",800,967,"2,090","1,893","2,471","2,477",0,0,0,"1,765","2,269","2,897","2,848","2,808","3,413","4,471","5,680","3,203","3,558"
INDONESIA,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,"2,205","2,505","3,231","3,478","3,941","4,106","4,967","5,158","5,486","5,053","6,235","6,750","7,454","8,025","8,074","8,176","8,340","8,856","9,468","11,689","2,918","1,711"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,208"
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,"5,042","4,427","4,569","4,740","5,458","6,578","8,801","6,908","8,432","8,653","9,055","10,280","10,263","9,800","9,932","10,945","13,171","14,449","2,075",516
(blank),Travel,US$ Millions,(blank),IMF,"2,172","2,399","2,411","2,102","2,353","3,197","3,406","3,289","3,082","3,507","3,584","4,030","4,904","5,554","5,316","6,395","6,255","6,771","7,675","7,682","7,292","7,566","8,289","10,314","11,308","1,748",471
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,"1,753","1,345","1,062","1,156","1,428","1,674","3,247","1,592","2,037","2,398","2,284","2,605","2,581","2,508","2,366","2,656","2,857","3,141",327,45
"IRAN, ISLAMIC REPUBLIC OF",(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,698","6,620","9,007","10,543","7,243",0,"1,550","2,626"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),"1,000","1,218","1,433","1,690","1,856","2,286","2,400","2,921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,402"
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
(blank),Tourism expenditure in other countries,US$ Millions,1/,IMF,247,274,396,155,638,671,714,"3,990","4,120","4,402","4,112","5,066","7,335","8,270","8,503","10,570","10,555","8,435","9,464","10,130","9,658","11,142","12,568","9,271",0,0,0
(blank),Travel,US$ Millions,1/,IMF,241,258,382,153,632,668,708,"3,750","3,842","4,093","3,724","4,684","6,809","7,566","7,805","9,655","9,775","7,825","8,839","9,452","8,992","10,233","11,507","8,695",0,0,0
(blank),Passenger transport,US$ Millions,1/,IMF,6,16,14,2,6,3,6,240,278,309,388,382,526,704,698,915,780,610,625,678,666,909,"1,061",576,0,0,0
IRAQ,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Tourism expenditure in other countries,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,627,526,705,813,"1,221","1,675","1,879","2,363","4,835","6,115","7,934","7,647","8,093","7,855","10,925","4,172","7,453"
(blank),Travel,US$ Millions,1/,IMF,117,70,131,14,14,9,31,26,0,0,439,395,639,794,"1,207","1,620","1,836","2,281","4,835","6,115","7,934","7,647","8,093","7,855","10,925","4,172","7,453"
(blank),Passenger transport,US$ Millions,(blank),IMF,0,0,0,0,0,0,0,0,0,0,188,131,66,19,14,55,43,82,0,0,0,0,0,0,0,0,0
IRELAND,(blank),(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Departures,(blank),(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Total departures,Thousands,(blank),(blank),"2,547","2,733","3,053","3,330","3,576","3,783","4,216","4,634","4,929","5,409","6,113","6,848","7,713","7,877","7,047","6,917","6,514","6,600","6,579","6,676","7,094","7,646","8,171","8,643","9,350","2,326","2,276"
(blank),Overnights visitors (tourists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(blank),Same-day visitors (excursionists),Thousands,(blank),(blank),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
